anio,mes,dia,hora(utc),altura(mm)
2016,6,13,17,856 
2016,6,13,18,673 
2016,6,13,19,476 
2016,6,13,20,315 
2016,6,13,21,228 
2016,6,13,22,235 
2016,6,13,23,331 
2016,6,14,0,492 
2016,6,14,1,672 
2016,6,14,2,822 
2016,6,14,3,902 
2016,6,14,4,892 
2016,6,14,5,791 
2016,6,14,6,621 
2016,6,14,7,427 
2016,6,14,8,254 
2016,6,14,9,146 
2016,6,14,10,134 
2016,6,14,11,220 
2016,6,14,12,388 
2016,6,14,13,596 
2016,6,14,14,797 
2016,6,14,15,941 
2016,6,14,16,999 
2016,6,14,17,959 
2016,6,14,18,834 
2016,6,14,19,658 
2016,6,14,20,474 
2016,6,14,21,330 
2016,6,14,22,257 
2016,6,14,23,271 
2016,6,15,0,362 
2016,6,15,1,505 
2016,6,15,2,659 
2016,6,15,3,782 
2016,6,15,4,841 
2016,6,15,5,819 
2016,6,15,6,718 
2016,6,15,7,561 
2016,6,15,8,389 
2016,6,15,9,244 
2016,6,15,10,166 
2016,6,15,11,178 
2016,6,15,12,279 
2016,6,15,13,449 
2016,6,15,14,649 
2016,6,15,15,832 
2016,6,15,16,958 
2016,6,15,17,999 
2016,6,15,18,947 
2016,6,15,19,817 
2016,6,15,20,643 
2016,6,15,21,468 
2016,6,15,22,335 
2016,6,15,23,272 
2016,6,16,0,288 
2016,6,16,1,373 
2016,6,16,2,503 
2016,6,16,3,640 
2016,6,16,4,745 
2016,6,16,5,792 
2016,6,16,6,764 
2016,6,16,7,663 
2016,6,16,8,515 
2016,6,16,9,360 
2016,6,16,10,236 
2016,6,16,11,181 
2016,6,16,12,212 
2016,6,16,13,326 
2016,6,16,14,499 
2016,6,16,15,694 
2016,6,16,16,867 
2016,6,16,17,979 
2016,6,16,18,1005 
2016,6,16,19,940 
2016,6,16,20,802 
2016,6,16,21,625 
2016,6,16,22,455 
2016,6,16,23,327 
2016,6,17,0,268 
2016,6,17,1,286 
2016,6,17,2,370 
2016,6,17,3,495 
2016,6,17,4,624 
2016,6,17,5,721 
2016,6,17,6,760 
2016,6,17,7,725 
2016,6,17,8,622 
2016,6,17,9,479 
2016,6,17,10,334 
2016,6,17,11,226 
2016,6,17,12,188 
2016,6,17,13,236 
2016,6,17,14,363 
2016,6,17,15,544 
2016,6,17,16,739 
2016,6,17,17,906 
2016,6,17,18,1006 
2016,6,17,19,1016 
2016,6,17,20,934 
2016,6,17,21,783 
2016,6,17,22,601 
2016,6,17,23,428 
2016,6,18,0,302 
2016,6,18,1,248 
2016,6,18,2,272 
2016,6,18,3,362 
2016,6,18,4,491 
2016,6,18,5,620 
2016,6,18,6,715 
2016,6,18,7,746 
2016,6,18,8,701 
2016,6,18,9,591 
2016,6,18,10,447 
2016,6,18,11,306 
2016,6,18,12,208 
2016,6,18,13,186 
2016,6,18,14,252 
2016,6,18,15,397 
2016,6,18,16,589 
2016,6,18,17,789 
2016,6,18,18,952 
2016,6,18,19,1038 
2016,6,18,20,1028 
2016,6,18,21,925 
2016,6,18,22,758 
2016,6,18,23,564 
2016,6,19,0,386 
2016,6,19,1,261 
2016,6,19,2,216 
2016,6,19,3,255 
2016,6,19,4,360 
2016,6,19,5,500 
2016,6,19,6,636 
2016,6,19,7,728 
2016,6,19,8,748 
2016,6,19,9,688 
2016,6,19,10,565 
2016,6,19,11,414 
2016,6,19,12,272 
2016,6,19,13,181 
2016,6,19,14,177 
2016,6,19,15,266 
2016,6,19,16,433 
2016,6,19,17,641 
2016,6,19,18,848 
2016,6,19,19,1004 
2016,6,19,20,1072 
2016,6,19,21,1037 
2016,6,19,22,910 
2016,6,19,23,722 
2016,6,20,0,512 
2016,6,20,1,326 
2016,6,20,2,207 
2016,6,20,3,181 
2016,6,20,4,244 
2016,6,20,5,373 
2016,6,20,6,530 
2016,6,20,7,672 
2016,6,20,8,757 
2016,6,20,9,760 
2016,6,20,10,680 
2016,6,20,11,540 
2016,6,20,12,376 
2016,6,20,13,230 
2016,6,20,14,149 
2016,6,20,15,167 
2016,6,20,16,285 
2016,6,20,17,477 
2016,6,20,18,703 
2016,6,20,19,915 
2016,6,20,20,1060 
2016,6,20,21,1105 
2016,6,20,22,1041 
2016,6,20,23,884 
2016,6,21,0,669 
2016,6,21,1,441 
2016,6,21,2,253 
2016,6,21,3,151 
2016,6,21,4,154 
2016,6,21,5,249 
2016,6,21,6,405 
2016,6,21,7,580 
2016,6,21,8,725 
2016,6,21,9,799 
2016,6,21,10,779 
2016,6,21,11,674 
2016,6,21,12,512 
2016,6,21,13,331 
2016,6,21,14,183 
2016,6,21,15,119 
2016,6,21,16,165 
2016,6,21,17,314 
2016,6,21,18,531 
2016,6,21,19,773 
2016,6,21,20,985 
2016,6,21,21,1114 
2016,6,21,22,1130 
2016,6,21,23,1032 
2016,6,22,0,841 
2016,6,22,1,597 
2016,6,22,2,356 
2016,6,22,3,177 
2016,6,22,4,103 
2016,6,22,5,141 
2016,6,22,6,272 
2016,6,22,7,457 
2016,6,22,8,648 
2016,6,22,9,792 
2016,6,22,10,847 
2016,6,22,11,801 
2016,6,22,12,667 
2016,6,22,13,479 
2016,6,22,14,283 
